variant,finding_type,feature,family,d,F,n_malignant,n_benign,abs_d,rank
raw,calcification,original_glrlm_RunLengthNonUniformity,glrlm,0.546427178934376,105.27414359498947,544,1002,0.546427178934376,27
raw,calcification,original_glrlm_RunLengthNonUniformityNormalized,glrlm,-0.6354705920224247,142.3796910576701,544,1002,0.6354705920224247,12
raw,calcification,original_glrlm_RunPercentage,glrlm,-0.6425798044076233,145.58320486259822,544,1002,0.6425798044076233,10
raw,calcification,original_glrlm_RunVariance,glrlm,0.2016624373715212,14.338613404534467,544,1002,0.2016624373715212,56
raw,calcification,original_glrlm_ShortRunEmphasis,glrlm,-0.6767498966120538,161.4780617430773,544,1002,0.6767498966120538,7
raw,calcification,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,0.18681316962300354,12.304730604083801,544,1002,0.18681316962300354,58
raw,calcification,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,-0.6865156291470867,166.17205444104312,544,1002,0.6865156291470867,6
clahe,mass,original_shape2D_Elongation,shape2D,0.13311329931354735,5.8319531938950835,637,681,0.13311329931354735,52
clahe,mass,original_shape2D_MajorAxisLength,shape2D,0.42755778433093106,60.16733416695896,637,681,0.42755778433093106,7
clahe,mass,original_shape2D_MaximumDiameter,shape2D,0.43501331482024325,62.283962412900216,637,681,0.43501331482024325,6
clahe,mass,original_shape2D_MeshSurface,shape2D,0.400443728231712,52.778145518159846,637,681,0.400443728231712,12
clahe,mass,original_shape2D_MinorAxisLength,shape2D,0.4502741749346623,66.73062803267146,637,681,0.4502741749346623,5
clahe,mass,original_shape2D_Perimeter,shape2D,0.401715834021408,53.114003077868794,637,681,0.401715834021408,11
clahe,mass,original_shape2D_PerimeterSurfaceRatio,shape2D,-0.3948731548706124,51.319965194043604,637,681,0.3948731548706124,14
clahe,mass,original_shape2D_PixelSurface,shape2D,0.4004427694189535,52.77789277703722,637,681,0.4004427694189535,13
clahe,mass,original_shape2D_Sphericity,shape2D,-0.04355813047267409,0.6244671493633436,637,681,0.04355813047267409,62
clahe,mass,original_firstorder_10Percentile,firstorder,0.274520801790956,24.80399592426933,637,681,0.274520801790956,23
clahe,mass,original_firstorder_90Percentile,firstorder,0.4917872956953094,79.60232357579407,637,681,0.4917872956953094,1
clahe,mass,original_firstorder_Energy,firstorder,0.4640406532650197,70.8733878257205,637,681,0.4640406532650197,2
clahe,mass,original_firstorder_Entropy,firstorder,0.06044155471451829,1.2023817836918427,637,681,0.06044155471451829,60
clahe,mass,original_firstorder_InterquartileRange,firstorder,0.15551007624470534,7.959544270260257,637,681,0.15551007624470534,42
clahe,mass,original_firstorder_Kurtosis,firstorder,-0.00016949764064488345,9.45580371892839e-06,637,681,0.00016949764064488345,67
clahe,mass,original_firstorder_Maximum,firstorder,0.45986666596428294,69.6041276173834,637,681,0.45986666596428294,4
clahe,mass,original_firstorder_MeanAbsoluteDeviation,firstorder,0.15754651827283878,8.169373526884463,637,681,0.15754651827283878,41
clahe,mass,original_firstorder_Mean,firstorder,0.41440254390634834,56.52179681472123,637,681,0.41440254390634834,10
clahe,mass,original_firstorder_Median,firstorder,0.4219024877626043,58.58619684163546,637,681,0.4219024877626043,9
clahe,mass,original_firstorder_Minimum,firstorder,0.14773984390974612,7.1840013567363545,637,681,0.14773984390974612,47
clahe,mass,original_firstorder_Range,firstorder,0.14615741605597937,7.030931177812815,637,681,0.14615741605597937,49
clahe,mass,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.1459980081027603,7.015602839635406,637,681,0.1459980081027603,50
clahe,mass,original_firstorder_RootMeanSquared,firstorder,0.4271901100304586,60.06389799287454,637,681,0.4271901100304586,8
clahe,mass,original_firstorder_Skewness,firstorder,-0.12314281555605054,4.991019794346995,637,681,0.12314281555605054,55
clahe,mass,original_firstorder_TotalEnergy,firstorder,0.4640406532650197,70.8733878257205,637,681,0.4640406532650197,3
clahe,mass,original_firstorder_Uniformity,firstorder,-0.0390460705848318,0.5017943927842885,637,681,0.0390460705848318,63
clahe,mass,original_firstorder_Variance,firstorder,0.12571476389541775,5.201680845840631,637,681,0.12571476389541775,54
clahe,mass,original_glcm_Autocorrelation,glcm,0.27604699903545804,25.080557988331517,637,681,0.27604699903545804,22
clahe,mass,original_glcm_ClusterProminence,glcm,0.11871096279957113,4.638235426042394,637,681,0.11871096279957113,57
clahe,mass,original_glcm_ClusterShade,glcm,-0.14755267655778004,7.165810478084518,637,681,0.14755267655778004,48
clahe,mass,original_glcm_ClusterTendency,glcm,0.12133667651360591,4.845686623411832,637,681,0.12133667651360591,56
clahe,mass,original_glcm_Contrast,glcm,-0.2787832064570723,25.58022450410476,637,681,0.2787832064570723,21
clahe,mass,original_glcm_Correlation,glcm,0.27899985220680595,25.619997346264956,637,681,0.27899985220680595,20
