finding_type,feature,family,spearman_raw_clahe,abs_d_raw,abs_d_clahe,delta_abs_d
mass,original_glcm_Imc2,glcm,0.9720181885480004,0.2895551852989303,0.2855058898294596,-0.004049295469470693
mass,original_glcm_InverseVariance,glcm,0.6113979825975616,0.07164200152103124,0.016146909354820573,-0.055495092166210666
mass,original_glcm_JointAverage,glcm,0.6060437054759835,0.2055833164606876,0.25888143422837934,0.05329811776769175
mass,original_glcm_JointEnergy,glcm,0.7030806462505838,0.08375900349757875,0.1525331750636759,0.06877417156609714
mass,original_glcm_JointEntropy,glcm,0.7782969386153605,0.15077673612885395,0.1973264117784865,0.046549675649632555
mass,original_glcm_MCC,glcm,0.9510710686123508,0.2966391477262965,0.2985066899479558,0.0018675422216593018
mass,original_glcm_MaximumProbability,glcm,0.5634911954612496,0.11783576089325246,0.15444015030183353,0.03660438940858107
mass,original_glcm_SumAverage,glcm,0.6060437054759835,0.20558331646068762,0.25888143422837795,0.053298117767690334
mass,original_glcm_SumEntropy,glcm,0.6391631520275798,0.07911237751917774,0.05387425540481442,-0.02523812211436332
mass,original_glcm_SumSquares,glcm,0.7693541421173393,0.11325067270470285,0.11541241113112571,0.0021617384264228656
mass,original_glrlm_GrayLevelNonUniformity,glrlm,0.985639470509686,0.3389646540555847,0.34751104517789383,0.00854639112230915
mass,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,0.7395308053421877,0.1299763508588298,0.11119607542462288,-0.01878027543420692
mass,original_glrlm_GrayLevelVariance,glrlm,0.8016798006438457,0.15807185452865058,0.16663073373015377,0.008558879201503194
mass,original_glrlm_HighGrayLevelRunEmphasis,glrlm,0.666468417080988,0.17930820906713207,0.20859463641025394,0.029286427343121868
mass,original_glrlm_LongRunEmphasis,glrlm,0.9068092282006369,0.10993952151527257,0.13304158984728878,0.02310206833201621
mass,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0.8124936621765371,0.1630367773869334,0.19962718933184267,0.03659041194490928
mass,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0.8643637131594534,0.017257091950279715,0.029198443121269322,0.011941351170989607
mass,original_glrlm_LowGrayLevelRunEmphasis,glrlm,0.691961984791771,0.12136076096652972,0.15236674234401767,0.03100598137748796
mass,original_glrlm_RunEntropy,glrlm,0.9662954879094356,0.25168444818414715,0.23505182287179935,-0.0166326253123478
mass,original_glrlm_RunLengthNonUniformity,glrlm,0.9090701377602738,0.2957703668227192,0.33437431152926317,0.03860394470654399
mass,original_glrlm_RunLengthNonUniformityNormalized,glrlm,0.9231105943082557,0.23762654850010165,0.23937296272689934,0.0017464142267976934
